等级,职业功能,工作内容,技能要求,课程内容,课堂学时,表现方法,时长（秒）
,,9.3 焊后检查,9.3.1 接头表面清理,"（14）焊后清理
①清理要求
②清理内容",,,
,,,9.3.2 焊后质量自检,"（15）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,,,,,,PPT＋讲解,300
,"10.低碳钢或低合金钢板角接接头气焊
",10.1 焊前准备,10.1.1 工件及焊丝清理,（1）气焊的原理、特点及应用,,操作+讲解,240
,,,,"（2）气焊焊接材料
①焊丝
②溶剂",,,
,,,,"（3）焊前清理
①清理范围
②清理方法",,,
,,,10.1.2 安全检查,"（4）气焊设备及辅助设备
①气瓶
②供气系统
③焊炬",,,
,,,,（5）气焊常用工机具,,,
,,,,（6）气焊常用夹具,,,
,,,,"（7）气焊设备工机具安全检查
①气瓶及减压器安全检查
②胶管安全检查
③焊炬安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,180
,,,,"（8）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,240
,,,,"（9）工作环境安全检查
①高空安全防护
②通风和消防",,,120
,,,10.1.3 根据工艺选择材料,"（10）材料准备
①焊接材料准备
②焊件准备",,,
,,,10.1.4 预留反变形量,"（11）焊接变形和应力控制
①预防和矫正焊接变形的方法及措施
②控制和减少焊接应力的方法和措施",,,
,,10.2 焊接操作,10.2.1 焊接参数选择,"（12）气焊焊接参数                               ①焊丝直径
②气体火焰种类
③火焰能率
④焊嘴倾斜角
⑤焊丝倾角
⑥焊接速度                         ",,,
,,,,（13）焊接参数确认与调节,,,
,,,10.2.2 点火、熄火与回火,"（14）操作要领
①点火、熄火的规程
②回火的危害
③回火的处理",,,
,,,10.2.3 焊接操作与定位焊,（15）气焊安全操作规程,,操作+PPT+讲解,
,,,,"（16）钢板角接气焊
①打底层的焊接
②盖面层的焊接",,,60
,,,,"（17）气焊基本操作
①焊缝起焊
②左焊法与右焊法
③焊丝填充
④焊炬和焊丝摆动
⑤焊缝接头
⑥焊缝收尾",,,120
,,10.3 焊后检查,10.3.1 接头表面清理,"（18）焊后清理
①清理要求
②清理内容",,,60
,,,10.3.2 焊后质量自检,"（19）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,"11.低碳钢或低合金钢板对接平焊气焊
",11.1 焊前准备,11.1.1 工件及焊丝清理,"（1）气焊焊接材料
①焊丝
②溶剂",,操作+讲解,240
,,,,"（2）焊前清理
①清理范围
②清理方法",,,
,,,11.1.2 安全检查,"（3）气焊设备工机具安全检查
①气瓶及减压器安全检查
②胶管安全检查
③焊炬安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,
,,,,"（4）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,
,,,,"（5）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,11.1.3 根据工艺选择材料,"（6）材料准备
①焊接材料准备
②焊件准备",,,
,,,11.1.4 预留反变形量,"（7）焊接变形和应力控制
①预防和矫正焊接变形的方法及措施
②控制和减少焊接应力的方法和措施",,,180
,,11.2 焊接操作,11.2.1 焊接参数选择,"（8）气焊焊接参数                               ①焊丝直径
②气体火焰种类
③火焰能率
④焊嘴倾斜角
⑤焊丝倾角
⑥焊接速度                         ",,,240
,,,,（9）焊接参数确认与调节,,,120
,,,11.2.2 点火、熄火与回火,"（10）操作要领
①点火、熄火的规程
②回火的危害
③回火的处理",,,
,,,11.2.3 焊接操作与定位焊,（11）气焊安全操作规程,,,
,,,,"（12）钢板角接气焊
①打底层的焊接
②盖面层的焊接",,,
,,,,"（13）气焊基本操作
①焊缝起焊
②左焊法与右焊法
③焊丝填充
④焊炬和焊丝摆动
⑤焊缝接头
⑥焊缝收尾",,,
,,11.3 焊后检查,11.3.1 接头表面清理,"（14）焊后清理
①清理要求
②清理内容",,,
,,,11.3.2 焊后质量自检,"（15）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,操作+PPT+讲解,
,"12.低碳钢或低合金钢板Ｔ形接头气焊
",12.1 焊前准备,12.1.1 工件及焊丝清理,"（1）气焊焊接材料
①焊丝
②溶剂",,操作+讲解,240
,,,,"（2）焊前清理
①清理范围
②清理方法",,,
,,,12.1.2 安全检查,"（3）气焊设备工机具安全检查
①气瓶及减压器安全检查
②胶管安全检查
③焊炬安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,
,,,,"（4）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,
,,,,"（5）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,12.1.3 根据工艺选择材料,"（6）材料准备
①焊接材料准备
②焊件准备",,,
,,,12.1.4 预留反变形量,"（7）焊接变形和应力控制
①预防和矫正焊接变形的方法及措施
②控制和减少焊接应力的方法和措施",,,180
,,12.2 焊接操作,12.2.1 焊接参数选择,"（8）气焊焊接参数                               ①焊丝直径
②气体火焰种类
③火焰能率
④焊嘴倾斜角
⑤焊丝倾角
⑥焊接速度                         ",,,240
,,,,（9）焊接参数确认与调节,,,120
,,,12.2.2 点火、熄火与回火,"（10）操作要领
①点火、熄火的规程
②回火的危害
③回火的处理",,,
,,,12.2.3 焊接操作与定位焊,（11）气焊安全操作规程,,,
,,,,"（12）钢板角接气焊
①打底层的焊接
②盖面层的焊接",,,
,,,,"（13）气焊基本操作
①焊缝起焊
②左焊法与右焊法
③焊丝填充
④焊炬和焊丝摆动
⑤焊缝接头
⑥焊缝收尾",,,
,,12.3 焊后检查,12.3.1 接头表面清理,"（14）焊后清理
①清理要求
②清理内容",,,
,,,12.3.2 焊后质量自检,"（15）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,操作+PPT+讲解,
